 34
** Atomic data from version 6 of the CHIANTI database **
%observed energy levels: Kelly, R.L., 1987, J.Phys.Chem.Ref.Data 16, Suppl. 1
%theoretical energy levels:  Connor Ballance (private communications)
%comment: An R-matrix with pseudostates He^+ calculation   1s-5g
     Degenerate transitions removed within LS coupling scheme

%filename: he_2.wgfa
%observed energy levels: Kelly, R.L., 1987, J.Phys.Chem.Ref.Data 16, Suppl. 1.     
% A values: Parpia, F.A., Johnson, W.R., 1972, Phys.Rev.A, 26, 1142.
%oscillator strengths: Wiese, W.L., Smith, M.W., Glennon, B.M., 1966, Atomic Transition Probabilities, NSRDS-NBS-4.
%note: Wiese's oscillator strengths are hydrogenic
%produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
%
%   K.P.Dere 1995 

%filename: he_2.splups
%theoretical energy levels:  Connor Ballance (private communications)
%oscillator strengths:  Wiese, W. L., Smith, M. W., and Glennon, B. M., 1966, Atomic Transition Probabilities, NSRDS-NBS-4.
%comment:  hydrogenic f values
%collision strengths:  Connor Ballance (private communications)
%comment: An R-matrix with pseudostates He^+ calculation   1s-5g
     Degenerate transitions removed within LS coupling scheme

     L=0-11     exchange calculation
     L=12-60    non-exchange calculation + top up

     (Connor Ballance - 28th June 2003)
     Degenerate transitions removed within LS coupling scheme
  0  0   9.86e-01
  0  0   1.02e+00
  0  0   1.08e+00
  0  0   1.17e+00
  0  0   1.31e+00
  0  0   1.55e+00
  0  0   1.89e+00
  0  0   2.30e+00
  0  0   2.71e+00
  0  0   3.15e+00
  0  0   3.62e+00
  0  0   4.04e+00
  0  0   4.36e+00
 0 0 0
 -1 -2   5.266e+02
  1  3   1.002e+10
  1  4   1.003e+10
  1  5   0.000e+00
  1  6   2.675e+09
  1  7   2.679e+09
  1  8   0.000e+00
  1  9   0.000e+00
  2  3   0.000e+00
  2  4   0.000e+00
  2  5   0.000e+00
  2  6   3.590e+08
  2  7   3.596e+08
  2  8   0.000e+00
  2  9   0.000e+00
  3  4   0.000e+00
  3  5   3.369e+07
  3  6   0.000e+00
  3  7   0.000e+00
  3  8   8.626e+08
  3  9   0.000e+00
  4  5   6.737e+07
  4  6   0.000e+00
  4  7   0.000e+00
  4  8   1.725e+08
  4  9   1.035e+09
  5  6   0.000e+00
  5  7   0.000e+00
  5  8   0.000e+00
  5  9   0.000e+00
  6  7   0.000e+00
  6  8   0.000e+00
  6  9   0.000e+00
  7  8   0.000e+00
  7  9   0.000e+00
  8  9   0.000e+00
  1  2        0.0
  2  2   329179.8
  3  2   329179.3
  4  4   329185.2
  5  2   390141.0
  6  2   390140.8
  7  4   390142.6
  8  4   390142.6
  9  6   390143.1
