%  E. Landi - Nov 2009
  0  0   3.96e-02
  0  0   3.95e-02
  0  0   3.94e-02
  0  0   3.93e-02
  0  0   3.91e-02
  0  0   3.89e-02
  0  0   3.87e-02
  0  0   3.87e-02
  0  0   3.89e-02
  0  0   3.95e-02
  0  0   4.05e-02
  0  0   4.19e-02
  0  0   4.33e-02
  6 13   4.57e-03
  0  0   4.58e-03
  0  0   4.58e-03
  0  0   4.58e-03
  0  0   4.58e-03
  0  0   4.59e-03
  0  0   4.59e-03
  0  0   4.60e-03
  0  0   4.62e-03
  0  0   4.65e-03
  0  0   4.70e-03
  0  0   4.76e-03
  0  0   4.86e-03
  0  0   5.01e-03
  0  0   5.20e-03
  0  0   5.43e-03
  0  0   5.67e-03
  0  0   5.81e-03
  0  0   5.75e-03
  0  0   5.39e-03
  0  0   4.79e-03
  0  0   4.10e-03
  0  0   3.36e-03
  6 14   9.73e-03
  0  0   9.73e-03
  0  0   9.74e-03
  0  0   9.74e-03
  0  0   9.74e-03
  0  0   9.75e-03
  0  0   9.76e-03
  0  0   9.78e-03
  0  0   9.80e-03
  0  0   9.84e-03
  0  0   9.90e-03
  0  0   9.99e-03
  0  0   1.01e-02
  0  0   1.03e-02
  0  0   1.06e-02
  0  0   1.09e-02
  0  0   1.13e-02
  0  0   1.16e-02
  0  0   1.15e-02
  0  0   1.11e-02
  0  0   1.03e-02
  0  0   9.35e-03
  0  0   8.48e-03
  6 15   1.08e-02
  0  0   1.08e-02
  0  0   1.08e-02
  0  0   1.08e-02
  0  0   1.08e-02
  0  0   1.08e-02
  0  0   1.09e-02
  0  0   1.09e-02
  0  0   1.09e-02
  0  0   1.10e-02
  0  0   1.11e-02
  0  0   1.12e-02
  0  0   1.14e-02
  0  0   1.17e-02
  0  0   1.22e-02
  0  0   1.27e-02
  0  0   1.31e-02
  0  0   1.34e-02
  0  0   1.32e-02
  0  0   1.24e-02
  0  0   1.10e-02
  0  0   9.42e-03
  0  0   7.73e-03
  6 16   5.00e-02
  0  0   5.00e-02
  0  0   5.00e-02
  0  0   5.00e-02
  0  0   5.00e-02
  0  0   5.00e-02
  0  0   5.01e-02
  0  0   5.01e-02
  0  0   5.01e-02
  0  0   5.02e-02
  0  0   5.03e-02
  0  0   5.04e-02
  0  0   5.07e-02
  0  0   5.11e-02
  0  0   5.16e-02
  0  0   5.25e-02
  0  0   5.38e-02
  0  0   5.56e-02
  0  0   5.80e-02
  0  0   6.12e-02
  0  0   6.53e-02
  0  0   7.08e-02
  0  0   7.85e-02
  6 17   2.80e-02
  0  0   2.80e-02
  0  0   2.80e-02
  0  0   2.80e-02
  0  0   2.80e-02
  0  0   2.80e-02
  0  0   2.80e-02
  0  0   2.81e-02
  0  0   2.81e-02
  0  0   2.81e-02
  0  0   2.81e-02
  0  0   2.82e-02
  0  0   2.83e-02
  0  0   2.85e-02
  0  0   2.88e-02
  0  0   2.93e-02
  0  0   3.01e-02
  0  0   3.14e-02
  0  0   3.36e-02
  0  0   3.69e-02
  0  0   4.22e-02
  0  0   4.98e-02
  0  0   6.03e-02
 0 0 0
  1  2   2.747e+04
  1  3   0.000e+00
  1  4   1.393e+10
  1  5   5.026e+06
  1  6   1.853e+07
  1  7   1.396e+13
  1  8   0.000e+00
  1  9   0.000e+00
  1 10   4.508e+09
  1 11   0.000e+00
  1 12   0.000e+00
  1 13   0.000e+00
  1 14   5.561e+07
  1 15   0.000e+00
  1 16   9.453e+08
  1 17   4.202e+12
  2  3   1.187e+08
  2  4   1.207e+08
  2  5   1.312e+08
  2  6   0.000e+00
  2  7   0.000e+00
  2  8   0.000e+00
  2  9   2.204e+11
  2 10   2.199e+11
  2 11   2.193e+11
  2 12   0.000e+00
  2 13   6.460e+07
  2 14   6.104e+07
  2 15   6.464e+07
  2 16   0.000e+00
  2 17   2.144e+08
  3  4   0.000e+00
  3  5   0.000e+00
  3  6   0.000e+00
  3  7   0.000e+00
  3  8   9.131e+09
  3  9   0.000e+00
  3 10   0.000e+00
  3 11   4.953e+06
  3 12   0.000e+00
  3 13   3.701e+11
  3 14   0.000e+00
  3 15   0.000e+00
  3 16   0.000e+00
  3 17   0.000e+00
  4  5   0.000e+00
  4  6   3.237e+02
  4  7   0.000e+00
  4  8   2.723e+10
  4  9   0.000e+00
  4 10   6.154e+06
  4 11   1.113e+07
  4 12   6.742e+07
  4 13   2.773e+11
  4 14   4.797e+11
  4 15   0.000e+00
  4 16   1.999e+10
  4 17   0.000e+00
  5  6   0.000e+00
  5  7   0.000e+00
  5  8   4.577e+10
  5  9   2.473e+07
  5 10   1.852e+07
  5 11   8.647e+06
  5 12   0.000e+00
  5 13   1.846e+10
  5 14   1.571e+11
  5 15   6.650e+11
  5 16   9.187e+09
  5 17   0.000e+00
  6  7   0.000e+00
  6  8   0.000e+00
  6  9   0.000e+00
  6 10   2.589e+08
  6 11   0.000e+00
  6 12   0.000e+00
  6 13   0.000e+00
  6 14   0.000e+00
  6 15   0.000e+00
  6 16   5.220e+07
  6 17   2.210e+11
  7  8   3.093e+07
  7  9   0.000e+00
  7 10   0.000e+00
  7 11   0.000e+00
  7 12   8.430e+10
  7 13   2.548e+08
  7 14   2.792e+10
  7 15   0.000e+00
  7 16   6.119e+11
  7 17   0.000e+00
  8  9   1.477e+07
  8 10   1.506e+07
  8 11   1.646e+07
  8 12   0.000e+00
  8 13   0.000e+00
  8 14   0.000e+00
  8 15   0.000e+00
  8 16   0.000e+00
  8 17   0.000e+00
  9 10   0.000e+00
  9 11   0.000e+00
  9 12   0.000e+00
  9 13   0.000e+00
  9 14   0.000e+00
  9 15   0.000e+00
  9 16   0.000e+00
  9 17   0.000e+00
 10 11   0.000e+00
 10 12   0.000e+00
 10 13   0.000e+00
 10 14   0.000e+00
 10 15   0.000e+00
 10 16   0.000e+00
 10 17   0.000e+00
 11 12   0.000e+00
 11 13   0.000e+00
 11 14   0.000e+00
 11 15   0.000e+00
 11 16   0.000e+00
 11 17   0.000e+00
 12 13   0.000e+00
 12 14   0.000e+00
 12 15   0.000e+00
 12 16   0.000e+00
 12 17   0.000e+00
 13 14   0.000e+00
 13 15   0.000e+00
 13 16   0.000e+00
 13 17   0.000e+00
 14 15   0.000e+00
 14 16   0.000e+00
 14 17   0.000e+00
 15 16   0.000e+00
 15 17   0.000e+00
 16 17   0.000e+00
  1  1        0.0
  2  3   8935337.0
  3  1   9022345.0
  4  3   9022867.0
  5  5   9025283.7
  6  1   9027981.0
  7  3   9088700.0
  8  3   10558946.0
  9  1   10582781.0
 10  3   10582947.0
 11  5   10583658.0
 12  1   10583431.0
 13  3   10596647.0
 14  5   10596667.0
 15  7   10596925.0
 16  5   10597475.0
 17  3   10601080.0
