 Spectral energy distribution at the surface of the nebula: 
   viewPoints = 
    nu [Ryd]        lambda [um]        nu*F(nu)          
                                   [erg/sec/cm^2/str]    
   5.341580      1.7059892E-02  0.0000000E+00
   5.341880      1.7058933E-02  0.0000000E+00
   5.366880      1.6979469E-02  0.0000000E+00
   5.391880      1.6900742E-02  0.0000000E+00
   5.416880      1.6822742E-02  0.0000000E+00
   5.441880      1.6745457E-02  0.0000000E+00
   5.466880      1.6668880E-02  0.0000000E+00
   5.491880      1.6593000E-02  0.0000000E+00
   5.516881      1.6517809E-02  0.0000000E+00
   5.541881      1.6443294E-02  0.0000000E+00
   5.566881      1.6369449E-02  0.0000000E+00
   5.591881      1.6296266E-02  0.0000000E+00
   5.616881      1.6223732E-02  0.0000000E+00
   5.641881      1.6151844E-02  0.0000000E+00
   5.689229      1.6017422E-02  0.0000000E+00
   5.689528      1.6016578E-02  0.0000000E+00
   5.693638      1.6005017E-02  0.0000000E+00
   5.693938      1.6004173E-02  0.0000000E+00
   5.718938      1.5934212E-02  0.0000000E+00
   5.743938      1.5864858E-02  0.0000000E+00
   5.768939      1.5796108E-02  0.0000000E+00
   5.793939      1.5727950E-02  0.0000000E+00
   5.818939      1.5660377E-02  0.0000000E+00
   5.843939      1.5593383E-02  0.0000000E+00
   5.889879      1.5471756E-02  0.0000000E+00
   5.890179      1.5470969E-02  0.0000000E+00
   5.915179      1.5405581E-02  0.0000000E+00
   5.940179      1.5340745E-02  0.0000000E+00
   5.965179      1.5276452E-02  0.0000000E+00
   5.990180      1.5212695E-02  0.0000000E+00
   6.015180      1.5149469E-02  0.0000000E+00
   6.040180      1.5086765E-02  0.0000000E+00
   6.065180      1.5024579E-02  0.0000000E+00
   6.090180      1.4962903E-02  0.0000000E+00
   6.115180      1.4901732E-02  0.0000000E+00
   6.140180      1.4841059E-02  0.0000000E+00
   6.165180      1.4780878E-02  0.0000000E+00
   6.190180      1.4721182E-02  0.0000000E+00
   6.215180      1.4661968E-02  0.0000000E+00
   6.240180      1.4603227E-02  0.0000000E+00
   6.265181      1.4544955E-02  0.0000000E+00
   6.290181      1.4487147E-02  0.0000000E+00
   6.315181      1.4429796E-02  0.0000000E+00
   6.340181      1.4372898E-02  0.0000000E+00
   6.365181      1.4316447E-02  0.0000000E+00
   6.390181      1.4260437E-02  0.0000000E+00
   6.415181      1.4204863E-02  0.0000000E+00
   6.440181      1.4149722E-02  0.0000000E+00
   6.471254      1.4081780E-02  0.0000000E+00
   6.471554      1.4081128E-02  0.0000000E+00
   6.496554      1.4026941E-02  0.0000000E+00
   6.521554      1.3973169E-02  0.0000000E+00
   6.546554      1.3919808E-02  0.0000000E+00
   6.571554      1.3866853E-02  0.0000000E+00
   6.596554      1.3814299E-02  0.0000000E+00
   6.621554      1.3762143E-02  0.0000000E+00
   6.646554      1.3710378E-02  0.0000000E+00
   6.671555      1.3659001E-02  0.0000000E+00
   6.696555      1.3608009E-02  0.0000000E+00
   6.721555      1.3557395E-02  0.0000000E+00
   6.746555      1.3507157E-02  0.0000000E+00
   6.771555      1.3457289E-02  0.0000000E+00
   6.796555      1.3407789E-02  0.0000000E+00
   6.821555      1.3358651E-02  0.0000000E+00
   6.846555      1.3309872E-02  0.0000000E+00
   6.871555      1.3261448E-02  0.0000000E+00
   6.896555      1.3213376E-02  0.0000000E+00
   6.921556      1.3165650E-02  0.0000000E+00
   6.946556      1.3118267E-02  0.0000000E+00
   6.971556      1.3071225E-02  0.0000000E+00
   6.996556      1.3024519E-02  0.0000000E+00
   7.021556      1.2978146E-02  0.0000000E+00
   7.046556      1.2932101E-02  0.0000000E+00
   7.071556      1.2886383E-02  0.0000000E+00
   7.096556      1.2840985E-02  0.0000000E+00
   7.137886      1.2766633E-02  0.0000000E+00
   7.138186      1.2766097E-02  0.0000000E+00
   7.163186      1.2721542E-02  0.0000000E+00
   7.194480      1.2666208E-02  0.0000000E+00
   7.194780      1.2665680E-02  0.0000000E+00
   7.219780      1.2621822E-02  0.0000000E+00
   7.244780      1.2578267E-02  0.0000000E+00
   7.269780      1.2535011E-02  0.0000000E+00
   7.294780      1.2492052E-02  0.0000000E+00
   7.319780      1.2449387E-02  0.0000000E+00
   7.344780      1.2407011E-02  0.0000000E+00
   7.369781      1.2364924E-02  0.0000000E+00
   7.394781      1.2323121E-02  0.0000000E+00
   7.419781      1.2281599E-02  0.0000000E+00
   7.444781      1.2240357E-02  0.0000000E+00
   7.469781      1.2199391E-02  0.0000000E+00
   7.494781      1.2158697E-02  0.0000000E+00
   7.519781      1.2118275E-02  0.0000000E+00
   7.544781      1.2078120E-02  0.0000000E+00
   7.569781      1.2038231E-02  0.0000000E+00
   7.594781      1.1998604E-02  0.0000000E+00
   7.619781      1.1959237E-02  0.0000000E+00
   7.644782      1.1920128E-02  0.0000000E+00
   7.669782      1.1881273E-02  0.0000000E+00
   7.694782      1.1842672E-02  0.0000000E+00
   7.719782      1.1804320E-02  0.0000000E+00
   7.744782      1.1766216E-02  0.0000000E+00
   7.769782      1.1728357E-02  0.0000000E+00
   7.794782      1.1690740E-02  0.0000000E+00
   7.819782      1.1653365E-02  0.0000000E+00
   7.844782      1.1616227E-02  0.0000000E+00
   7.869782      1.1579325E-02  0.0000000E+00
   7.894783      1.1542658E-02  0.0000000E+00
   7.919783      1.1506221E-02  0.0000000E+00
   7.944783      1.1470014E-02  0.0000000E+00
   7.969783      1.1434034E-02  0.0000000E+00
   7.994783      1.1398280E-02  0.0000000E+00
   8.033099      1.1343912E-02  0.0000000E+00
   8.033400      1.1343488E-02  0.0000000E+00
   8.058399      1.1308298E-02  0.0000000E+00
   8.083399      1.1273324E-02  0.0000000E+00
   8.108398      1.1238567E-02  0.0000000E+00
   8.133398      1.1204023E-02  0.0000000E+00
   8.158398      1.1169691E-02  0.0000000E+00
   8.183397      1.1135568E-02  0.0000000E+00
   8.208397      1.1101653E-02  0.0000000E+00
   8.233397      1.1067945E-02  0.0000000E+00
   8.258396      1.1034439E-02  0.0000000E+00
   8.283396      1.1001137E-02  0.0000000E+00
   8.308395      1.0968035E-02  0.0000000E+00
   8.333395      1.0935132E-02  0.0000000E+00
   8.371193      1.0885757E-02  0.0000000E+00
   8.371493      1.0885366E-02  0.0000000E+00
   8.396493      1.0852957E-02  0.0000000E+00
   8.421493      1.0820739E-02  0.0000000E+00
   8.446492      1.0788713E-02  0.0000000E+00
   8.471492      1.0756874E-02  0.0000000E+00
   8.496491      1.0725224E-02  0.0000000E+00
   8.521491      1.0693760E-02  0.0000000E+00
   8.546491      1.0662478E-02  0.0000000E+00
   8.571490      1.0631381E-02  0.0000000E+00
   8.596490      1.0600463E-02  0.0000000E+00
   8.621490      1.0569725E-02  0.0000000E+00
   8.646489      1.0539165E-02  0.0000000E+00
   8.671489      1.0508780E-02  0.0000000E+00
   8.696488      1.0478571E-02  0.0000000E+00
   8.721488      1.0448535E-02  0.0000000E+00
   8.746488      1.0418671E-02  0.0000000E+00
   8.771487      1.0388977E-02  0.0000000E+00
   8.796487      1.0359451E-02  0.0000000E+00
   8.821486      1.0330093E-02  0.0000000E+00
   8.846486      1.0300901E-02  0.0000000E+00
   8.871486      1.0271873E-02  0.0000000E+00
   8.896485      1.0243009E-02  0.0000000E+00
   8.921485      1.0214305E-02  0.0000000E+00
   8.946485      1.0185763E-02  0.0000000E+00
   8.971484      1.0157380E-02  0.0000000E+00
   8.996484      1.0129155E-02  0.0000000E+00
   9.021483      1.0101086E-02  0.0000000E+00
   9.046483      1.0073171E-02  0.0000000E+00
   9.071483      1.0045411E-02  0.0000000E+00
   9.096482      1.0017804E-02  0.0000000E+00
   9.121482      9.9903475E-03  0.0000000E+00
   9.146482      9.9630412E-03  0.0000000E+00
   9.171481      9.9358838E-03  0.0000000E+00
   9.196481      9.9088745E-03  0.0000000E+00
   9.221480      9.8820115E-03  0.0000000E+00
   9.246480      9.8552937E-03  0.0000000E+00
   9.275226      9.8247500E-03  0.0000000E+00
