

C=COMPOSITE  CL=COULOMB  OP=OP  DRK=DRAKE  FDR=FIITED DRAKE  HY=HYDROGENIC




    1  1S  TO  1P
    *************

   NU    COMPOSITE  DRK/C   OP/C FDR/OP   CL/C   HY/C
    9   9.5591D+02  1.000  1.010  0.000  1.000  0.000
   10   3.9095D+03  1.000  1.012  0.000  0.999  3.304
   11   3.7531D+03  0.000  1.010  0.000  1.000  2.630
   12   3.1357D+03  0.000  1.008  0.000  1.000  2.402
   13   2.5665D+03  0.000  1.007  0.000  1.000  2.285
   14   2.1034D+03  0.000  1.007  0.000  1.000  2.213
   15   1.7368D+03  0.000  1.007  0.000  1.000  2.163
   16   1.4464D+03  0.000  1.007  0.000  1.000  2.127
   17   1.2154D+03  0.000  1.006  0.000  1.000  2.101
   18   1.0300D+03  0.000  1.006  0.000  1.000  2.080
   19   8.7990D+02  0.000  1.006  0.000  1.000  2.063
   20   7.5725D+02  0.000  1.006  0.000  1.000  2.049
   21   6.5616D+02  0.000  1.006  0.000  1.000  2.038
   22   5.7215D+02  0.000  1.006  0.000  1.000  2.029
   23   5.0180D+02  0.000  1.006  0.000  1.000  2.021
   24   4.4246D+02  0.000  1.006  0.000  1.000  2.014
   25   3.9208D+02  0.000  1.006  0.000  1.000  2.008
   26   3.4904D+02  0.000  0.000  0.000  1.000  2.003
   27   3.1205D+02  0.000  0.000  0.000  1.000  1.998
   28   2.8009D+02  0.000  0.000  0.000  1.000  1.994
   29   2.5233D+02  0.000  0.000  0.000  1.000  1.991
   30   2.2812D+02  0.000  0.000  0.000  1.000  1.987
   31   2.0690D+02  0.000  0.000  0.000  1.000  1.985
   32   1.8823D+02  0.000  0.000  0.000  1.000  1.982
   33   1.7173D+02  0.000  0.000  0.000  1.000  1.980
   34   1.5711D+02  0.000  0.000  0.000  1.000  1.978
   35   1.4409D+02  0.000  0.000  0.000  1.000  1.976
   36   1.3248D+02  0.000  0.000  0.000  1.000  1.974
   37   1.2207D+02  0.000  0.000  0.000  1.000  1.972
   38   1.1273D+02  0.000  0.000  0.000  1.000  1.971
   39   1.0431D+02  0.000  0.000  0.000  1.000  1.969
   40   9.6716D+01  0.000  0.000  0.000  1.000  1.968


   10  1S  TO  1P
    *************

   NU    COMPOSITE  DRK/C   OP/C FDR/OP   CL/C   HY/C
   10   5.6155D+02  1.000  1.008  0.000  1.000  0.000
   11   2.2507D+03  0.000  1.013  0.000  1.000  3.389
   12   2.2072D+03  0.000  1.009  0.000  1.000  2.695
   13   1.8775D+03  0.000  1.008  0.000  1.000  2.461
   14   1.5610D+03  0.000  1.008  0.000  1.000  2.341
   15   1.2974D+03  0.000  1.007  0.000  1.000  2.265
   16   1.0842D+03  0.000  1.006  0.000  1.000  2.214
   17   9.1284D+02  0.000  1.006  0.000  1.000  2.177
   18   7.7452D+02  0.000  1.006  0.000  1.000  2.149
   19   6.6214D+02  0.000  1.006  0.000  1.000  2.127
   20   5.7011D+02  0.000  1.006  0.000  1.000  2.110
   21   4.9416D+02  0.000  1.006  0.000  1.000  2.096
   22   4.3099D+02  0.000  1.006  0.000  1.000  2.084
   23   3.7805D+02  0.000  1.006  0.000  1.000  2.074
   24   3.3337D+02  0.000  1.006  0.000  1.000  2.065
   25   2.9543D+02  0.000  1.006  0.000  1.000  2.058
   26   2.6301D+02  0.000  0.000  0.000  1.000  2.051
   27   2.3514D+02  0.000  0.000  0.000  1.000  2.046
   28   2.1106D+02  0.000  0.000  0.000  1.000  2.041
   29   1.9015D+02  0.000  0.000  0.000  1.000  2.036
